strain	husb	husb_group	animal_type	sample_type	genus	CRE	ESBL	MAR	MAR_profile	AUG	AMP	AZI	FAZ	FEP	FOT	FOX	POD	TAZ	AXO	CEP	CHL	CIP	GEN	IMP	MEM	NAL	TZP	STR	SUL	FTC	CCV	TET	SXT
Res13-Lact-PER01-35	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER01-36	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER01-38	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER01-40	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER02-33	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	I	R	R	R	R	I	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER02-35	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER02-34	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER02-36	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER02-44	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFotPodTazAxoCepCipGenStrSulTetSxt	S	R	S	S	S	R	S	R	R	R	R	S	R	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER04-33	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PER04-34	AF2	AF2-1	suckler	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Sevr-LER1-36-a	AF2	AF2-1	weaner	manure	Serratia fonticola	No	No	5	AmpFazPodAxoCep	S	R	S	R	S	I	I	R	S	R	R	S	S	S	S	S	S	S	S	R	NI	NI	S	S
Res13-Sevr-LER1-36-b	AF2	AF2-1	weaner	manure	Serratia fonticola	No	No	3	AmpFazCep	S	R	S	R	S	S	I	I	S	S	R	S	S	S	S	S	S	S	S	NI	NI	NI	S	S
Res13-Sevr-LER1-34	AF2	AF2-1	weaner	manure	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepGenTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Sevr-PER06-5-b	AF2	AF2-1	weaner	feces	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepGenTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Sevr-PER07-33	AF2	AF2-1	weaner	feces	Escherichia coli	No	Yes	8	AmpFazFotPodTazAxoCepSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-LER2-34	AF2	AF2-2	sow	manure	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
