strain,steve_strain_names,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Sevr-PEA18-33,SPEA1833,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,S,R,S,R,SD,R,I,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
Res13-Sevr-PEA19-33,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA19-18,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,I,R,S,R,SD,R,I,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA20-33,SPEA2033,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,11,AmpFazFepFotPodTazAxoCepStrSulSxt,I,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
Res13-Sevr-PEA20-01,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA21-35,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA21-06,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA15-42,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Croi-PEA15-12,CPEA1512,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA15-34,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA16-11,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA16-26,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA17-03,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA17-28,CPEA1728,AF3,AF3-3,grower,feces,Escherichia coli,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,S,S,NI,NI,R,S
Res13-Croi-PEA18-13,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA18-38,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA19-13,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA19-24,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA20-14,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA20-23,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA21-12,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA21-28,CPEA2128,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Croi-PEA21-36,NA,AF3,AF3-3,grower,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Fini-PEA15-14,NA,AF3,AF3-3,finisher,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,S,R
